中文,英文,备注
# 术语对照表:左边中文出现时,AI 必须用右边的固定英文译法。
"# 用法:填好""英文""列",空着的行表示尚未确定(AI 会自行翻译)。
# 以 # 开头的行是注释,会被忽略。匹配区分大小写、按整词优先长词。
# 第4列【错译】可选,分号(;)分隔;豆包把该词翻成这些错误英文时,强制改回标准译法。
# ====== 酶 / 缓冲液 / 试剂 (核心术语,已填标准译法,请你复核) ======
连接酶,Ligase,,Connection enzyme,sci
末端修复酶,End Repair Enzyme,,Terminal repair enzyme,sci
末端修复缓冲液,End Repair Buffer,,Buffer solution for endotoxin removal;End Repair Buffer solution,sci
连接缓冲液,Ligation Buffer,,Connection;Connection Buffer;Connection buffer solution,sci
洗脱缓冲液,Elution Buffer,,,sci
环化反应缓冲液,Circularization Buffer,,,sci
PCR反应液,PCR Reaction Mix,,PCR reaction solution,sci
PCR引物,PCR Primer,,,sci
裂解液,Lysis Buffer,,Lysis solution,sci
清洗液,Wash Buffer,,Cleaning solution;washing solution,sci
蛋白酶K,Proteinase K,,,sci
磁珠,Magnetic Beads,,,sci
末修缓冲液,End Repair Buffer,末端修复缓冲液的简写,Buffer solution for endotoxin removal;End Repair Buffer solution,sci
末修酶,End Repair Enzyme,末端修复酶的简写,Terminal repair enzyme,sci
# ====== DNB / 测序相关 ======
DNB制备缓冲液,DNB Preparation Buffer,DNB=DNA Nanoball,,siro
DNB聚合酶混合液,DNB Polymerase Mix,,,siro
DNB终止缓冲液,DNB Stop Buffer,,,siro
# ====== 耗材 / 器材 ======
冻存管,Cryovial,如 0.5mL/2.0mL 冻存管,,sci
试剂槽,Reagent Trough,,Reagent reservoir;reagent tray;reagent tank,sci
螺纹管,Screw-cap Tube,,threaded tube;Screw-Cap Reagent Tubes,sci
试剂名称,Reagent,表头字段,Reagent Name,sci
耗材,Consumables,,,sci
耗材数量,Consumable Quantity,,The Quantity of materials;The number of Consumables,sci
数量,Quantity,,,sci
# ====== 流程 / 步骤 ======
血浆分离,Plasma Separation,,,sci
提取,Extraction,,Exaction,sci
建库,Library Preparation,,database construction;Database Construction;database creation;build a database;building a database;Database Building;database building;Database product;Database table;Database library;database library;database workstation;Database workstation,sci
上机前准备,Pre-run Preparation,,getting on the plane;preparation before getting on the plane;pre-flight preparation;pre-flight;Pre-machine;before using the computer;uploading to the computer system,sci
环化反应,Circularization,,,sci
末端修复,End Repair,,,sci
# ====== 表头 / 元数据字段 ======
物料编码,Material Code,,,sci
物料名,Material Name,,,sci
物料数量,Quantity,,The Quantity of materials;The number of Consumables,sci
损耗系数,Loss Factor,,,sci
单反应标准用量,Standard Volume per Reaction,,,sci
管底冗余,Dead Volume,管底死体积,,sci
序号,No.,,,sci
版本号,Version,,,sci
修订内容摘要,Revision Summary,,Summary of the amendments,sci
备注,Remarks,,,sci
# ====== 顽固短标记(模型对孤立短词翻译不稳,此处作兜底固定译法)======
注意事项,Cautionary Notes,,,sci
注意,Note,,,sci
警告,Warning,,,sci
文件密级,Document Classification,,,sci
文件编号,Document No.,,,sci
# ====== 高频短标记 / 步骤名(补充,请复核)======
全流程,Full Process,,whole process;Full-process;the entire process,sci
前处理建库,Pre-processing & Library Prep,,,sci
装量,Volume,,Loading capacity,sci
通量,throughput,,transaction limit,sci
通量/例,Throughput/Sample,,,sci
单位,Unit,,,sci
类型,Type,,,sci
格式,Format,,,sci
需要,Required,,,sci
不需要,Not Required,,,sci
适用范围,Applicable Scope,,,sci
目的,Purpose,,,sci
职责,Responsibilities,,,sci
术语和定义,Terms and Definitions,,,sci
相关文件,Related Documents,,,sci
相关记录,Related Records,,,sci
附录,Appendix,,,sci
修订记录,Revision History,,,sci
# ====== 文件头字段(签名栏)======
起草人,Drafted by,,,sci
起草日期,Drafting Date,,,sci
审核人,Reviewed by,,,sci
审核日期,Review Date,,,sci
批准人,Approved by,,,sci
